product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
1,112,생후 3개월 부터 10개월까지,건식사료,성견 시 체중 4kg 미만 초소형견,1,,1.5kg,23000,로얄캐닌 엑스스몰 퍼피,31,20,1.5,7.1,1.13,0.94,10.5
2,112,생후 10개월 이후,건식사료,4kg 미만의 초소형견,1,,1.5kg,23000,로얄캐닌 엑스스몰 어덜트,24,18,1.7,5.9,0.82,0.7,11
3,112,생후 8년이후부터 12년까지,건식사료,4kg 미만의 초소형견,1,,1.5kg,21900,로얄캐닌 엑스스몰 어덜트 8+,24,18,1.7,5.4,0.8,0.6,
4,112,생후 12년 이후,건식사료,4kg 미만의 초소형견,1,,1.5kg,23000,로얄캐닌 엑스스몰 에이징 12+,24,16,1.8,4.7,0.7,0.55,
5,112,임신 말기부터 수유기까지/생후 2개월까지,건식사료,성견 시 체중 10kg 미만 소형견,1,,1kg,12000,로얄캐닌 미니 스타터 마더 앤 베이비독,30,22,1.3,8,1.29,1.01,
6,112,생후 3개월 부터 10개월까지,건식사료,성견시 체중 10kg 미만 소형견,1,,8kg,70000,로얄캐닌 미니 퍼피,31,20,1.4,7.7,1.25,1,
7,112,생후 3개월 부터 10개월까지,건식사료,10kg미만의 소형견,1,,1.5kg,24000,로얄캐닌 미니 인도어 퍼피,27,18,1.5,7.8,1.27,1,
8,112,생후 10개월 이후,건식사료,10kg미만의 소형견,1,,15kg,68600,로얄캐닌 미니 어덜트,27,16,1.3,5.7,0.91,0.8,
9,112,10개월 이후,건식사료,10kg미만의 소형견,1,,1.5kg,22000,로얄캐닌 미니 인도어 어덜트,21,14,1.9,6.1,0.75,0.5,
10,112,생후 8년 이후,건식사료,10kg미만의 소형견,1,,1.5kg,24000,로얄캐닌 미니 인도어 시니어,24,14,1.5,6.1,0.73,0.58,11
11,112,생후 11개월부터,건식사료,중성화 수술한 10kg 미만의 소형견,1,중성화 수술 후 회복 도움,1kg,18500,로얄캐닌 미니 스테럴라이즈드,30,13,6.4,5.3,0.72,0.7,
12,112,생후 11개월부터,건식사료,피부가 약하고 가려움증의 소인이 있는 10kg 미만의 소형견,1,피부,1kg,26730,로얄캐닌 미니 더마컴포트,26,17,1.4,5.5,0.66,0.6,
13,112,생후 11개월부터,건식사료,살찌는 경향이 있는 10kg 미만의 소형견,1,체중,1kg,13900,로얄캐닌 미니 라이트 웨이트 케어,30,11,6.8,5.1,0.82,0.64,
14,112,생후 11개월부터,건식사료,소화기가 민감한 10kg 미만의 소형견,1,변 상태,1kg,13900,로얄캐닌 미니 다이제스티브 케어,30,22,1.8,6.1,0.81,0.71,
15,112,생후 3개월 부터 12개월 까지,건식사료,성견시 체중 11kg 이상 25kg 미만 중형견,1,,4kg,30000,로얄캐닌 미디엄 퍼피,32,20,1.7,8,1.29,1.08,
16,112,생후 12개월 이후,건식사료,11kg 이상 25kg 미만의 중형견,1,,4kg,40000,로얄캐닌 미디엄 어덜트,25,14,1.3,6.1,1.2,0.8,
17,112,생후 3개월 부터 15개월 까지,건식사료,체중 26kg 이상 45kg 미만,1,,10kg,78000,로얄캐닌 맥시 퍼피,30,16,2.6,7.7,1.26,1.07,
18,112,생후 15개월 이후,건식사료,체중 26kg 이상 45kg 미만,1,,10kg,78000,로얄캐닌 맥시 어덜트,26,17,1.2,6.6,1.2,0.8,
19,112,임신 말기/수유기 및 2개월 까지 이유기 자견,건식사료,25~45kg 대형견,1,,15kg,115000,로얄캐닌 PRO 맥시 스타터 마더 앤 베이비독,30,22,,7,1.15,0.95,8
