nickname,pet_name,pet_type1,pet_type2,pet_weight,pet_age,trouble1,trouble2,trouble3
flex,flex,1,말티즈,6,7,비만,알러지,치아/구강
Roy,Roy,1,푸들,2.5,1,뼈/관절,,
가람,가람,0,샴,6.5,9,노령,신장/요로,호흡기
가루,가루,1,레브라도 리트리버,18,1,피부/모질,,
가온2,가온2,1,푸들,4.5,4,치아/구강,눈/귀,
가위,가위,0,시베리안,2.4,2,뼈/관절,,
가을1,가을1,1,믹스견,13,1,장,,
가을4,가을4,1,말티즈,3,18,노령,장,
가을이,가을이,1,말티즈,3,4,비만,뼈/관절,장
가지1,가지1,1,웰시 코기,6,1,호흡기,뼈/관절,비만
가지3,가지3,1,보스턴 테리어,11,5,피부/모질,,
가지4,가지4,1,말티즈,2,19,노령,치아/구강,뼈/관절
가타,가타,1,기타,13,6,비만,심장,행동
간장이,간장이,0,러시안 블루,5.7,1,비만,피부/모질,
감자1,감자1,1,말티즈,3,1,알러지,눈/귀,
감자3,감자3,0,샴,7.6,10,노령,신장/요로,치아/구강
갑돌이1,갑돌이1,1,기타,4.3,3,노령,,
갑돌이2,갑돌이2,1,기타,4,6,노령,,
강낭콩,강낭콩,1,퍼그,5,4,피부/모질,,
강산,강산,1,포메라니안,3,5,뼈/관절,,
강오이,강오이,1,치와와,2.89,1,장,피부/모질,뼈/관절
강이1,강이1,1,푸들,7,5,행동,,
강이2,강이2,0,페르시안,3,15,노령,치아/구강,눈/귀
강지2,강지2,1,치와와,3,4,눈/귀,호흡기,뼈/관절
건웅이,건웅이,0,아메리칸 쇼트헤어,6,9,비만,장,뼈/관절
겨울이1,겨울이1,1,비숑 프리제,5,1,알러지,장,눈/귀
견우,견우,1,프렌치 불독,14,2,치아/구강,호흡기,뼈/관절
계단이,계단이,0,샴,2.4,2,피부/모질,,
고구마1,고구마1,0,러시안 블루,2.3,2,행동,,
고구마2,고구마2,1,푸들,5,6,비만,장,뼈/관절
고래2,고래2,1,푸들,5,6,장,노령,치아/구강
곤잘레스,곤잘레스,0,코리안 쇼트헤어,4,1,치아/구강,눈/귀,호흡기
곰곰이,곰곰이,1,기타,9,10,노령,당뇨,눈/귀
곰순이,곰순이,1,믹스견,9,4,알러지,눈/귀,피부/모질
곰이,곰이,1,시츄,5.9,4,알러지,피부/모질,눈/귀
공기,공기,1,시츄,5.9,4,알러지,피부/모질,눈/귀
공주1,공주1,1,시츄,3,2,비만,행동,피부/모질
공주2,공주2,1,말티즈,2.7,2,피부/모질,,
공주3,공주3,1,말티즈,6,4,알러지,치아/구강,노령
공주4,공주4,1,말티즈,5,4,장,행동,눈/귀
광복,광복,1,파피용,4,5,치아/구강,피부/모질,
구띄,구띄,1,닥스훈트,3,2,알러지,신장/요로,뼈/관절
구름1,구름1,1,비숑 프리제,6,3,알러지,치아/구강,
구름2,구름2,1,말티즈,4,4,알러지,뼈/관절,
구름3,구름3,1,말티즈,4,7,알러지,장,피부/모질
구름4,구름4,0,터키시 앙고라,6,9,노령,신장/요로,치아/구강
구름7,구름7,1,말티즈,3,16,장,심장,눈/귀
구름이1,구름이1,1,말티즈,2,2,눈/귀,뼈/관절,
구름이3,구름이3,1,말티즈,3,8,치아/구강,눈/귀,
구름이4,구름이4,1,믹스견,4,9,행동,,
구슬,구슬,0,코리안 쇼트헤어,4,6,행동,,
구월이,구월이,1,말티즈,4,7,노령,알러지,뼈/관절
구찌,구찌,1,푸들,3.5,2,뼈/관절,,
구피,구피,1,시츄,5,14,노령,알러지,뼈/관절
권쏭,권쏭,0,코리안 쇼트헤어,3.6,11,노령,치아/구강,뼈/관절
귀뚱이1,귀뚱이1,0,코리안 쇼트헤어,6,5,비만,피부/모질,뼈/관절
귀뚱이2,귀뚱이2,0,코리안 쇼트헤어,5.5,6,노령,뼈/관절,피부/모질
귀리,귀리,0,코리안 쇼트헤어,2,1,호흡기,,
귀염둥이,귀염둥이,1,포메라니안,30,3,알러지,뼈/관절,피부/모질
그레이2,그레이2,0,기타,2.5,3,알러지,,
그렘,그렘,0,샴,4,3,장,,
금동이1,금동이1,1,치와와,3,6,눈/귀,,
금동이2,금동이2,1,믹스견,10,13,노령,치아/구강,피부/모질
금동이3,금동이3,1,푸들,6,14,노령,치아/구강,
금실,금실,1,웰시 코기,15,3,눈/귀,,
기쁨이,기쁨이,0,믹스묘,3,4,노령,알러지,
길란,길란,1,기타,15,8,노령,,
길쭉이,길쭉이,1,닥스훈트,6,4,치아/구강,,
김구름,김구름,1,말티즈,2,3,눈/귀,,
김냥이,김냥이,0,코리안 쇼트헤어,4.6,13,노령,,
김냥준,김냥준,0,코리안 쇼트헤어,4.3,1,행동,피부/모질,
김베리,김베리,1,치와와,3,5,알러지,,
김복순,김복순,1,말티즈,1.6,13,치아/구강,노령,장
김북동,김북동,1,믹스견,6.2,1,알러지,눈/귀,
김영웅,김영웅,0,코리안 쇼트헤어,5,4,치아/구강,,
김우기,김우기,1,치와와,3,11,노령,치아/구강,뼈/관절
김조이,김조이,1,기타,5,4,눈/귀,뼈/관절,피부/모질
김종국,김종국,0,러시안 블루,4.5,3,피부/모질,,
김지순,김지순,1,닥스훈트,10,8,비만,노령,행동
까까,까까,0,믹스묘,4.6,4,눈/귀,,
까꿍,까꿍,0,샴,6,5,피부/모질,,
까꿍이,까꿍이,1,포메라니안,3,4,행동,치아/구강,뼈/관절
까롱,까롱,0,코리안 쇼트헤어,5,3,비만,치아/구강,
까망이1,까망이1,0,코리안 쇼트헤어,7.5,9,노령,비만,치아/구강
까망이2,까망이2,1,푸들,3,9,노령,알러지,치아/구강
까무,까무,0,코리안 쇼트헤어,6,5,비만,신장/요로,치아/구강
까미1,까미1,0,아메리칸 쇼트헤어,2.5,2,행동,,
까미11,까미11,1,요크셔테리어,14,7,치아/구강,뼈/관절,
까미12,까미12,1,믹스견,9,8,노령,치아/구강,피부/모질
까미14,까미14,1,믹스견,5,15,노령,치아/구강,피부/모질
까미3,까미3,0,믹스묘,3,4,비만,장,피부/모질
까미4,까미4,0,러시안 블루,6,4,비만,장,치아/구강
까미5,까미5,0,코리안 쇼트헤어,2.5,5,치아/구강,,
까미6,까미6,1,푸들,6,5,눈/귀,뼈/관절,
까미7,까미7,0,코리안 쇼트헤어,3.5,5,치아/구강,,
까미8,까미8,0,믹스묘,8,5,비만,장,행동
까미9,까미9,0,코리안 쇼트헤어,3,5,치아/구강,,
까비2,까비2,1,말티즈,3,5,알러지,장,
까비3,까비3,1,푸들,3,9,노령,치아/구강,호흡기
깐순이,깐순이,1,요크셔테리어,3,13,노령,뼈/관절,
깜,깜,1,그레이하운드,5,5,행동,치아/구강,뼈/관절
깜노리,깜노리,1,파피용,5,5,뼈/관절,,
깜둥,깜둥,1,믹스견,5,12,노령,알러지,치아/구강
깜디1,깜디1,1,보더 콜리,9,9,노령,신장/요로,치아/구강
깜디2,깜디2,1,페키니즈,2,15,심장,,
깜별이,깜별이,0,코리안 쇼트헤어,6,8,신장/요로,치아/구강,피부/모질
깜시,깜시,1,퍼그,4,3,뼈/관절,,
깜장콩,깜장콩,0,코리안 쇼트헤어,5,3,알러지,호흡기,
깜지,깜지,1,믹스견,4,6,비만,알러지,뼈/관절
깜콩,깜콩,1,요크셔테리어,3,8,비만,신장/요로,뼈/관절
깡냉이,깡냉이,0,코리안 쇼트헤어,4,10,노령,비만,
깡둥이,깡둥이,0,코리안 쇼트헤어,4,1,행동,눈/귀,
깡이,깡이,0,아비시니안,5,4,행동,,
깡통이,깡통이,1,푸들,18,3,비만,알러지,
깨몽이,깨몽이,1,포메라니안,1.5,10,피부/모질,눈/귀,
꼬기2,꼬기2,1,웰시 코기,8,3,행동,,
꼬꼬,꼬꼬,0,코리안 쇼트헤어,7.2,11,노령,알러지,치아/구강
꼬마1,꼬마1,1,말티즈,3,1,비만,뼈/관절,호흡기
꼬마2,꼬마2,0,먼치킨,6.5,3,비만,신장/요로,뼈/관절
꼬마4,꼬마4,1,푸들,5,8,노령,장,뼈/관절
